timestamp,male,female,unknown,total
2020-03-18 17:08:00 EDT,192,133,3,NA
2020-03-19 09:54:00 EDT,228,161,1,NA
2020-03-19 16:53:00 EDT,253,178,1,NA
2020-03-20 09:55:00 EDT,307,210,3,520
2020-03-20 17:40:00 EDT,334,225,4,563
