timestamp,county,count
2020-03-18 11:00:00 EDT,Alachua,7
2020-03-18 11:00:00 EDT,Clay,4
2020-03-18 11:00:00 EDT,Sarasota,4
2020-03-18 11:00:00 EDT,St. Johns,4
2020-03-18 11:00:00 EDT,Okaloosa,3
2020-03-18 11:00:00 EDT,Pasco,3
2020-03-18 11:00:00 EDT,Citrus,3
2020-03-18 11:00:00 EDT,Lake,2
2020-03-18 11:00:00 EDT,Gadsden,1
2020-03-18 11:00:00 EDT,Leon,1
2020-03-18 11:00:00 EDT,Sumter,1
2020-03-18 11:00:00 EDT,Brevard,1
2020-03-18 11:00:00 EDT,Polk,1
2020-03-18 11:00:00 EDT,Santa Rosa,1
2020-03-18 11:00:00 EDT,Nassau,1
2020-03-18 11:00:00 EDT,Charlotte,1
2020-03-18 11:00:00 EDT,Escambia,1
