timestamp,objectid_12_13,objectid,depcode,county,countyname,datestamp,shape_st_are,shape_st_len,objectid_1,county_1,state,objectid_12,depcode_1,countyn,pu_is_total,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80plus,age_unkn,c_age_0_9,c_age_10_19,c_age_20_29,c_age_30_39,c_age_40_49,c_age_50_59,c_age_60_69,c_age_70_79,c_age_80plus,c_age_unkn,pui_age_range,pui_age_avrg,c_age_range,c_age_avrg,c_all_res_types,c_non_res_deaths,pui_female,pui_male,pui_sex_unkn,puifl_res,pui_not_fl_res,puifl_res_out,pui_travel_no,pui_travel_unkn,pui_travel_yes,c_ed_no,c_ed_no_data,c_ed_yes,c_hosp_no,c_hosp_nodata,c_hosp_yes,fl_res_deaths,pui_lab_yes,t_positive,t_negative,t_inconc,t_pending,pui_cont_no,pui_cont_unkn,pui_cont_yes,cases_all,c_men,c_women,c_travel_yes,c_travel_no,c_travel_unkn,c_fl_res,c_not_fl_res,c_fl_res_out,t_neg_res,t_neg_not_fl_res,t_pend_res,t_pend_not_res,t_total,t_negative_2,t_pending_2,t_positive_2,f_land_non_fl_deaths,ever_mon,mon_now,shape_area,shape_length,age_0_4,age_5_14,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85plus,c_age_0_4,c_age_5_14,c_age_15_24,c_age_25_34,c_age_35_44,c_age_45_54,c_age_55_64,c_age_65_74,c_age_75_84,c_age_85plus,pui_fl_res,pui_non_res,c_fl_res_only,deaths1,deaths
2020-03-30T232653,6,6,50,099,PALM BEACH,2000-05-16T00:00:00.000Z,61491591969.0616,1522726.89747538,50,Palm Beach,FL,6,50,99,2721,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 104,0,6 to 94,50,441,0,1515,1160,46,2687,32,2,145,2489,87,51,330,82,105,306,52,10,2680,463,2217,0,41,91,153,107,463,242,207,NA,NA,NA,439,22,2,2207,10,NA,NA,2721,2217,NA,463,NA,519,433,5710098601.29486,464192.459734082,39,61,201,396,400,430,425,386,268,103,0,1,28,43,53,58,72,89,92,27,NA,NA,NA,NA,10
2020-03-30T232653,7,7,56,111,ST. LUCIE,2000-05-16T00:00:00.000Z,16149484820.9557,829518.692770346,59,St. Lucie,FL,7,56,111,428,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 95,0,18 to 95,49,29,0,249,170,9,425,3,0,49,362,17,17,3,11,22,1,8,2,412,31,381,0,16,51,9,16,31,14,16,NA,NA,NA,29,2,0,380,1,NA,NA,428,381,NA,31,NA,57,53,1499679486.67142,252832.323289834,9,14,33,59,60,66,73,67,33,14,0,0,3,4,4,4,6,5,3,2,NA,NA,NA,NA,2
2020-03-30T232653,8,8,51,101,PASCO,2000-05-16T00:00:00.000Z,21260807285.8637,739390.643597644,51,Pasco,FL,8,51,101,912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 95,0,18 to 75,50,37,0,551,360,1,900,12,0,73,803,36,19,11,8,28,3,7,2,901,38,862,1,11,71,41,33,38,18,20,NA,NA,NA,37,1,0,853,9,NA,NA,912,862,NA,38,NA,166,96,1975344274.45807,225211.500752162,21,26,52,114,136,161,169,140,70,23,0,0,4,5,6,9,5,8,1,0,NA,NA,NA,NA,2
2020-03-30T232653,9,9,20,039,GADSDEN,2000-05-16T00:00:00.000Z,14744963472.2481,673612.426077503,20,Gadsden,FL,9,20,39,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 90,0,54 to 54,48,1,0,26,16,0,41,0,1,3,36,3,0,1,0,0,1,0,0,42,1,41,0,0,1,3,2,1,1,0,NA,NA,NA,0,0,1,41,0,NA,NA,42,41,NA,1,NA,2,2,1367889846.39806,205127.330650714,2,0,2,7,5,11,5,6,3,1,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,10,10,37,073,LEON,2000-05-16T00:00:00.000Z,19584016138.2098,807989.691181563,37,Leon,FL,10,37,73,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 95,0,19 to 71,44,21,0,341,215,3,554,4,1,15,519,25,12,0,11,19,0,4,0,557,23,534,0,2,11,17,17,23,13,10,NA,NA,NA,20,2,1,532,2,NA,NA,559,534,NA,23,NA,106,69,1817477697.41779,246081.909627491,16,13,76,105,82,77,93,64,25,8,0,0,1,7,7,2,4,2,0,0,NA,NA,NA,NA,0
2020-03-30T232653,11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 75,0,NA,42,0,0,7,10,0,17,0,0,1,16,0,0,0,0,0,0,0,0,17,0,17,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,17,0,NA,NA,17,17,NA,0,NA,7,1,1581350101.5302,228391.565390175,2,2,1,1,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21 to 88,0,NA,53,0,0,19,8,0,27,0,0,2,25,0,0,0,0,0,0,0,0,27,0,27,0,0,2,0,0,0,0,0,NA,NA,NA,0,0,0,27,0,NA,NA,27,27,NA,0,NA,0,0,1853116752.08771,219176.19751538,0,0,1,5,3,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29 to 76,0,NA,45,0,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,3,0,NA,NA,3,3,NA,0,NA,0,0,2183538740.41838,308797.501184753,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19 to 93,0,NA,55,0,0,8,11,0,18,1,0,6,12,1,0,0,0,0,0,0,0,17,0,17,0,2,5,1,3,0,0,0,NA,NA,NA,0,0,0,17,0,NA,NA,19,17,NA,0,NA,2,0,1344926537.82205,232510.619937192,0,0,4,0,3,2,4,0,4,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0
2020-03-30T232653,15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0 to 90,0,28 to 74,47,5,0,69,50,3,120,2,0,18,82,22,5,0,1,5,0,1,0,119,6,113,0,3,15,17,9,6,5,1,NA,NA,NA,5,1,0,112,1,NA,NA,122,113,NA,6,NA,23,21,1930770661.49939,558412.990825665,3,4,6,21,16,24,26,11,9,2,0,0,0,1,1,1,1,2,0,0,NA,NA,NA,NA,0
