timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-13T190127,COLUMBIA,20,NA
2020-07-13T190127,DESOTO,2,NA
2020-07-13T190127,DUVAL,530,NA
2020-07-13T190127,ESCAMBIA,160,NA
2020-07-13T190127,FLAGLER,20,NA
2020-07-13T190127,FRANKLIN,0,NA
2020-07-13T190127,GADSDEN,0,NA
2020-07-13T190127,GULF,2,NA
2020-07-13T190127,HARDEE,0,NA
2020-07-13T190127,HENDRY,5,NA
2020-07-13T190127,HERNANDO,62,NA
2020-07-13T190127,HIGHLANDS,45,NA
2020-07-13T190127,HILLSBOROUGH,265,NA
2020-07-13T190127,HOLMES,0,NA
2020-07-13T190127,INDIAN RIVER,34,NA
2020-07-13T190127,JACKSON,33,NA
2020-07-13T190127,LAKE,113,NA
2020-07-13T190127,LEE,234,NA
2020-07-13T190127,LEON,71,NA
2020-07-13T190127,MADISON,0,NA
2020-07-13T190127,MANATEE,89,NA
2020-07-13T190127,MARION,97,NA
2020-07-13T190127,MARTIN,48,NA
2020-07-13T190127,MIAMI-DADE,"1,808",NA
2020-07-13T190127,MONROE,15,NA
2020-07-13T190127,NASSAU,6,NA
2020-07-13T190127,OKALOOSA,39,NA
2020-07-13T190127,OKEECHOBEE,14,NA
2020-07-13T190127,ORANGE,561,NA
2020-07-13T190127,OSCEOLA,202,NA
2020-07-13T190127,PALM BEACH,622,NA
2020-07-13T190127,PASCO,97,NA
2020-07-13T190127,PINELLAS,215,NA
2020-07-13T190127,POLK,142,NA
2020-07-13T190127,PUTNAM,21,NA
2020-07-13T190127,SANTA ROSA,20,NA
2020-07-13T190127,SARASOTA,129,NA
2020-07-13T190127,SEMINOLE,164,NA
2020-07-13T190127,ST. JOHNS,36,NA
2020-07-13T190127,ST. LUCIE,130,NA
2020-07-13T190127,SUMTER,20,NA
2020-07-13T190127,SUWANNEE,0,NA
2020-07-13T190127,TAYLOR,0,NA
2020-07-13T190127,UNION,0,NA
2020-07-13T190127,VOLUSIA,142,NA
2020-07-13T190127,WALTON,4,NA
2020-07-13T190127,WASHINGTON,4,NA
2020-07-13T190127,All,"8,051",NA
2020-07-14T070143,ALACHUA,106,NA
2020-07-14T070143,BAKER,37,NA
2020-07-14T070143,BAY,58,NA
2020-07-14T070143,BREVARD,120,NA
2020-07-14T070143,BROWARD,"1,210",NA
2020-07-14T070143,CALHOUN,1,NA
2020-07-14T070143,CHARLOTTE,39,NA
2020-07-14T070143,CITRUS,21,NA
2020-07-14T070143,CLAY,49,NA
2020-07-14T070143,COLLIER,188,NA
2020-07-14T070143,COLUMBIA,20,NA
2020-07-14T070143,DESOTO,2,NA
2020-07-14T070143,DUVAL,530,NA
